artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seconds,tempo_class,key_name,mode_name,tonality,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
melanie c,i turn to you,False,1999,0.607,0.464,0.792,0.726,0.017,0.001,0.002,0.347,0.043,135,352,Veloce (Allegro),C#,Major,C# Major,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
limp bizkit,take a look around,False,2000,0.809,0.35,0.844,0.737,0.041,0.018,0.311,0.087,0.507,102,321,Moderato,B,Major,B Major,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
darude,sandstorm,False,2001,0.775,0.472,0.964,0.619,0.042,0.144,1.0,0.07,0.587,136,225,Veloce (Allegro),B,Minor,B Minor,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
da brat,what'chu like (feat. tyrese),True,2000,0.596,0.886,0.663,0.571,0.392,0.017,0.0,0.055,0.833,100,221,Moderato,A#,Minor,A# Minor,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
moloko,the time is now,False,2000,0.607,0.654,0.729,0.488,0.256,0.359,0.0,0.307,0.543,128,318,Veloce (Allegro),A,Minor,A Minor,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
chicane,don't give up,False,2016,0.528,0.609,0.704,0.538,0.034,0.002,0.512,0.075,0.526,132,210,Veloce (Allegro),A#,Minor,A# Minor,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
dmx,party up,True,1999,0.798,0.45,0.928,0.85,0.586,0.076,0.0,0.576,0.526,202,268,Frenetico (Presto),B,Major,B Major,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
debelah morgan,dance with me,False,2000,0.551,0.852,0.656,0.619,0.026,0.317,0.001,0.017,0.751,115,220,Allegretto,G,Minor,G Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
madonna,music,False,2000,0.652,0.718,0.791,0.592,0.078,0.002,0.089,0.142,0.891,120,225,Allegretto,G,Major,G Major,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ruff endz,no more,False,2000,0.584,0.839,0.621,0.734,0.113,0.033,0.0,0.046,0.951,97,242,Moderato,A#,Minor,A# Minor,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
britney spears,born to make you happy,False,1999,0.652,0.596,0.918,0.774,0.04,0.119,0.0,0.06,0.693,84,243,Moderato,B,Minor,B Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
montell jordan,get it on tonite,False,1999,0.663,0.808,0.462,0.523,0.097,0.247,0.0,0.072,0.888,99,276,Moderato,A#,Minor,A# Minor,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
kylie minogue,spinning around,False,2000,0.618,0.747,0.643,0.636,0.057,0.299,0.0,0.089,0.634,120,207,Allegretto,F#,Minor,F# Minor,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
jay-z,big pimpin',True,1999,0.775,0.888,0.804,0.702,0.211,0.172,0.007,0.044,0.967,138,283,Veloce (Allegro),B,Minor,B Minor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
leann rimes,i need you,False,2001,0.685,0.412,0.721,0.662,0.024,0.02,0.0,0.116,0.562,145,229,Veloce (Allegro),G,Major,G Major,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
avant,separated,False,2000,0.618,0.791,0.45,0.739,0.008,0.253,0.0,0.259,0.647,108,255,Moderato,C,Major,C Major,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
