artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,key_name,mode_name,tonality,tempo_class,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
leona lewis,a moment like this,False,2007,0.57,0.261,0.562,0.832,0.0301,0.423,7.54e-06,0.131,0.167,71,4.17,G#,Major,G# Major,Lento (Adagio),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
t.i.,what you know,True,2006,0.64,0.551,0.81,0.798,0.0344,0.0155,0.0,0.169,0.332,73,4.34,B,Major,B Major,Lento (Adagio),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ludacris,money maker,True,2006,0.62,0.551,0.598,0.678,0.27,0.15,0.0,0.299,0.612,79,3.5,C#,Major,C# Major,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
nick lachey,what's left of me,False,2006,0.37,0.42,0.742,0.734,0.0375,0.142,0.0,0.145,0.294,150,4.04,G,Major,G Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
jibbs,chain hang low,True,2006,0.56,0.792,0.589,0.674,0.262,0.0259,0.000128,0.114,0.778,157,3.27,E,Minor,E Minor,Vivace,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
arctic monkeys,when the sun goes down,True,2006,0.72,0.348,0.875,0.779,0.199,0.0341,0.0,0.117,0.407,169,3.22,B,Minor,B Minor,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rascal flatts,life is a highway,False,2006,0.0,0.561,0.936,0.746,0.0613,0.00185,0.0,0.102,0.594,103,4.36,F,Major,F Major,Moderato,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
beyonce,check on it (feat. slim thug),False,2006,0.45,0.7,0.887,0.822,0.218,0.0805,0.0,0.376,0.883,166,3.31,G,Major,G Major,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
keyshia cole,love,False,2005,0.72,0.688,0.519,0.802,0.0283,0.064,0.0,0.1,0.318,117,4.15,F,Major,F Major,Allegretto,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
lily allen,smile,True,2006,0.68,0.632,0.639,0.72,0.0259,0.00143,0.0,0.221,0.733,96,3.16,F,Major,F Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ne-yo,sexy love,False,2006,0.67,0.693,0.516,0.695,0.0413,0.297,0.000127,0.0604,0.494,94,3.4,G#,Major,G# Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
jojo,too little too late,False,2006,0.48,0.535,0.823,0.75,0.0431,0.0113,3.88e-06,0.146,0.685,83,3.43,F#,Minor,F# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
mary j. blige,one,False,2005,0.64,0.344,0.874,0.857,0.0777,0.0841,0.0,0.129,0.269,186,4.2,C,Major,C Major,Frenetico (Presto),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bubba sparxxx,ms. new booty,True,2005,0.62,0.64,0.62,0.721,0.416,0.016,0.0,0.0831,0.609,129,4.12,C#,Major,C# Major,Veloce (Allegro),0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
amy winehouse,you know i'm no good,False,2006,0.63,0.705,0.806,0.835,0.0309,0.0132,0.00428,0.0701,0.734,103,4.16,A,Major,A Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rascal flatts,what hurts the most,False,2006,0.69,0.537,0.674,0.76,0.0277,0.0088,0.0,0.265,0.33,136,3.34,F,Minor,F Minor,Veloce (Allegro),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
